open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s,day_of_week,day,week,month,code_hash
1108.33,1183.73,1193.78,1102.89,1617026.0,1875063168.0,sh.600519,2015-01-05,0.8276,2312.7744,15.6694,4.7451,7.4029,404.661,0.05690000000000001,0.08470000000000001,-0.0279,0.0133,-0.0702,0,4,1,0,0.6028130255312644
1169.0,1156.32,1183.96,1145.74,941318.0,1094977408.0,sh.600519,2015-01-06,0.4818,2259.2146,15.3066,4.6352,7.2315,395.2898,-0.0144,0.0482,-0.0626,-0.0276,0.042,1,5,1,0,0.6028130255312644
1145.85,1127.73,1166.08,1110.49,937517.0,1063925632.0,sh.600519,2015-01-07,0.4798,2203.3708,14.9282,4.5206,7.0527,385.5189,-0.1393,-0.1908,0.0515,0.0795,0.05980000000000001,2,6,1,0,0.6028130255312644
1133.93,1120.84,1136.97,1111.37,693333.0,777874688.0,sh.600519,2015-01-08,0.3549,2189.8955,14.8369,4.493,7.0096,383.1611,0.0254,0.0045000000000000005,0.0209,-0.0225,-0.0028000000000000004,3,7,1,0,0.6028130255312644
1112.89,1112.36,1144.28,1111.19,923562.0,1039955136.0,sh.600519,2015-01-09,0.4727,2173.3364,14.7247,4.459,6.9566,380.2638,0.1004,0.0438,0.0566,-0.0643,-0.0361,4,8,1,0,0.6028130255312644
1110.55,1089.68,1125.69,1078.17,853971.0,934643392.0,sh.600519,2015-01-12,0.4371,2129.0269,14.4245,4.3681,6.8147,372.5111,-0.1153,-0.06570000000000001,-0.0496,0.0473,0.068,0,11,2,0,0.6028130255312644
1093.01,1080.62,1102.02,1078.99,628025.0,683429632.0,sh.600519,2015-01-13,0.3214,2111.3259,14.3046,4.3318,6.7581,369.414,-0.0274,-0.0437,0.016399999999999998,-0.0393,0.0667,1,12,2,0,0.6028130255312644
1081.32,1070.69,1090.09,1057.24,896552.0,965036160.0,sh.600519,2015-01-14,0.4589,2091.9119,14.1731,4.2919,6.6959,366.0172,0.009000000000000001,0.0129,-0.0039,-0.0196,0.0106,2,13,2,0,0.6028130255312644
1074.84,1087.58,1089.51,1066.6,831232.0,895503104.0,sh.600519,2015-01-15,0.4254,2124.9158,14.3967,4.3596,6.8016,371.7918,0.0493,-0.0308,0.0801,-0.042800000000000005,-0.0064,3,14,2,0,0.6028130255312644
1088.34,1087.81,1098.86,1087.05,683970.0,746304320.0,sh.600519,2015-01-16,0.3501,2125.3726,14.3998,4.3606,6.803,371.8717,-0.0501,0.0219,-0.07200000000000001,0.047,0.0031,4,15,2,0,0.6028130255312644
1057.94,1025.68,1070.8,1002.24,1106576.0,1151544320.0,sh.600519,2015-01-19,0.5664,2003.9781,13.5773,4.1115,6.4145,350.6316,-0.1718,-0.14980000000000002,-0.022,0.07400000000000001,0.0978,0,18,3,0,0.6028130255312644
1028.84,1040.88,1055.02,1011.18,1044016.0,1086018432.0,sh.600519,2015-01-20,0.5344,2033.67,13.7785,4.1724,6.5095,355.8267,0.022,0.0079,0.0142,-0.0126,-0.0095,1,19,3,0,0.6028130255312644
1041.99,1065.89,1069.05,1035.73,901193.0,950750400.0,sh.600519,2015-01-21,0.4613,2082.5476,14.1096,4.2727,6.666,364.3787,0.1107,0.032400000000000005,0.0783,-0.0937,-0.017,2,20,3,0,0.6028130255312644
1065.95,1059.29,1077.58,1052.1,654488.0,696541248.0,sh.600519,2015-01-22,0.335,2069.6431,14.0222,4.2462,6.6247,362.1208,0.0335,0.0242,0.0093,-0.0506,0.0171,3,21,3,0,0.6028130255312644
1052.8,1058.06,1071.27,1052.74,566032.0,600627328.0,sh.600519,2015-01-23,0.2897,2067.2449,14.0059,4.2413,6.617000000000001,361.7012,-0.006,-0.0278,0.0219,0.0053,0.0007000000000000001,4,22,3,0,0.6028130255312644
1062.04,1068.47,1072.56,1058.24,609907.0,650642112.0,sh.600519,2015-01-26,0.3122,2087.5723,14.1437,4.283,6.6821,365.2579,0.1391,0.08460000000000001,0.0545,-0.095,-0.0441,0,25,4,0,0.6028130255312644
1068.58,1052.74,1068.58,1040.41,716572.0,755025856.0,sh.600519,2015-01-27,0.3668,2056.8525,13.9355,4.22,6.5837,359.8829,-0.0558,-0.0327,-0.0231,0.0108,0.0451,1,26,4,0,0.6028130255312644
1046.25,1037.31,1054.44,1036.32,524904.0,547979136.0,sh.600519,2015-01-28,0.2687,2026.7039,13.7313,4.1581,6.4872,354.6079,-0.1073,-0.1505,0.0432,0.0461,0.0613,2,27,4,0,0.6028130255312644
1029.89,1029.6,1040.41,1022.88,555903.0,571553408.0,sh.600519,2015-01-29,0.2845,2011.6295,13.6291,4.1272,6.439,351.9703,-0.0504,0.0044,-0.0548,0.0103,0.0401,3,28,4,0,0.6028130255312644
1034.51,1035.62,1057.94,1031.64,812803.0,848744512.0,sh.600519,2015-01-30,0.416,2023.3921,13.7088,4.1514,6.4766,354.0284,0.0319,0.0289,0.003,0.0026,-0.0345,4,29,4,0,0.6028130255312644
