open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
164.09,163.69,166.57,161.02,1356505.0,221929088.0,sh.600435,2015-01-05,1.2176,182.3672,831.1316,8.8478,17.2767,-1934.2953,-0.0599,-0.0425,-0.0174,0.0064,0.0535
163.49,167.7,170.31,161.42,2296152.0,383450880.0,sh.600435,2015-01-06,2.061,186.8352,851.4942,9.0646,17.7,-1981.6852,0.0228,0.0171,0.0058,0.0094,-0.0323
168.24,165.5,168.24,164.56,1421991.0,235583120.0,sh.600435,2015-01-07,1.2764,184.3778,840.2948,8.9453,17.4672,-1955.6207,-0.08529999999999999,-0.06269999999999999,-0.0226,0.0121,0.0731
164.89,164.56,167.23,163.89,1328798.0,220180688.0,sh.600435,2015-01-08,1.1927,183.3353,835.5435,8.8947,17.3685,-1944.5631,0.0073,0.0331,-0.0257,-0.0228,0.0155
161.42,162.09,166.1,161.42,1474357.0,240957216.0,sh.600435,2015-01-09,1.3234,180.58,822.9866,8.7611,17.1074,-1915.3394,-0.2192,-0.1714,-0.0479,0.0614,0.1578
162.42,153.73,162.96,152.19,1859861.0,291850368.0,sh.600435,2015-01-12,1.6694,171.2718,780.5646,8.3095,16.2256,-1816.6105,-0.1765,-0.08810000000000001,-0.08839999999999999,0.008100000000000001,0.16829999999999998
153.73,155.74,157.27,153.73,1021736.0,159504400.0,sh.600435,2015-01-13,0.9171,173.5058,790.7459,8.4179,16.4372,-1840.3055,-0.0103,-0.0285,0.0182,-0.0033,0.0136
155.74,156.21,159.35,153.73,1171036.0,183024912.0,sh.600435,2015-01-14,1.0511,174.02700000000004,793.1215,8.4431,16.4866,-1845.8344,-0.0121,-0.0184,0.0063,-0.0114,0.0235
156.0,156.41,156.94,153.8,1156141.0,179627504.0,sh.600435,2015-01-15,1.0377,174.2504,794.1396,8.454,16.5078,-1848.2039,-0.0718,-0.0415,-0.0303,0.0052,0.0666
156.41,161.69,165.23,155.2,2257376.0,364802784.0,sh.600435,2015-01-16,2.0262,180.1333,820.9503,8.7394,17.0651,-1910.6003,0.1062,0.0864,0.0198,-0.053,-0.0533
154.73,155.47,163.42,153.4,1882334.0,297755008.0,sh.600435,2015-01-19,1.6896,173.2079,789.3884,8.4034,16.409000000000002,-1837.1461,-0.079,-0.0338,-0.0452,0.0079,0.0711
156.47,163.42,163.76,156.47,2571355.0,415372320.0,sh.600435,2015-01-20,2.3080000000000003,182.0694,829.7741,8.8333,17.2485,-1931.136,0.188,0.1525,0.0355,-0.0806,-0.1074
164.09,166.1,167.77,163.36,2211923.0,367102080.0,sh.600435,2015-01-21,1.9854,185.048,843.3491,8.9778,17.5307,-1962.7292,-0.0193,-0.0219,0.0026,0.0276,-0.0083
166.16,182.74,182.74,165.63,5423711.0,952835264.0,sh.600435,2015-01-22,4.8683,203.59,927.8537,9.8774,19.2873,-2159.3972,0.2306,0.2732,-0.0426,-0.1456,-0.0849
192.43,178.8,192.43,176.39,7149007.0,1310681088.0,sh.600435,2015-01-23,6.4169,199.1966,907.8306,9.6643,18.8711,-2112.7971,-0.0996,-0.0747,-0.0248,0.0334,0.0661
181.6,179.13,182.94,176.46,3762149.0,675117632.0,sh.600435,2015-01-26,3.3769,199.5689,909.5274,9.6823,18.9064,-2116.7461,-0.1343,-0.0851,-0.0492,0.0675,0.0668
181.14,180.2,183.81,177.59,3615703.0,653766464.0,sh.600435,2015-01-27,3.2454,200.7603,914.9575,9.7401,19.0192,-2129.3835,-0.1423,-0.0728,-0.0694,0.0805,0.0618
180.33,176.12,181.47,173.98,2431193.0,429182592.0,sh.600435,2015-01-28,2.1822,196.2179,894.2555,9.5198,18.5889,-2081.2039,-0.17620000000000002,-0.1213,-0.055,0.0476,0.1286
174.92,174.79,178.4,173.78,1390621.0,244638528.0,sh.600435,2015-01-29,1.2482,194.7286,887.4680000000003,9.4475,18.4478,-2065.4072,-0.039900000000000005,0.002,-0.04190000000000002,-0.0055000000000000005,0.0453
175.39,178.6,186.42,174.45,3473915.0,626467456.0,sh.600435,2015-01-30,3.1182,198.9732,906.8124,9.6534,18.8499,-2110.4275,0.0888,0.1188,-0.0301,-0.0524,-0.0364
