open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
207.4,228.44,228.44,204.64,2042381.0,448494848.0,sz.002304,2015-01-05,0.6102,764.6038,20.8604,4.8753,6.5569,-27.6172,0.0931,0.1082,-0.0151,-0.0633,-0.0298
224.61,228.42,236.4,222.51,1427097.0,326437440.0,sz.002304,2015-01-06,0.4264,764.5159,20.858,4.8747,6.5562,-27.614,0.0311,0.0357,-0.0046,-0.0028000000000000004,-0.0283
226.53,223.03,232.75,220.14,1497441.0,335587200.0,sz.002304,2015-01-07,0.4474,746.4911,20.3662,4.7598,6.4016,-26.9629,-0.0203,-0.0235,0.0033,-0.0113,0.0316
222.66,222.3,227.24,216.78,1234476.0,273632224.0,sz.002304,2015-01-08,0.3688,744.0292,20.2991,4.7441,6.3805,-26.874000000000002,0.057,0.0508,0.0062,-0.0207,-0.0363
222.19,217.12,227.24,216.94,1259786.0,281253376.0,sz.002304,2015-01-09,0.3764,726.7078,19.8265,4.6336,6.232,-26.2484,0.0036,0.0383,-0.0347,0.0311,-0.0347
217.1,219.35,220.14,211.74,1131695.0,244458800.0,sz.002304,2015-01-12,0.3381,734.1815,20.0304,4.6813,6.296,-26.5183,-0.095,-0.040999999999999995,-0.054000000000000006,0.0909,0.0041
219.22,218.96,223.16,215.02,756830.0,165380112.0,sz.002304,2015-01-13,0.2261,732.8626,19.9944,4.6729,6.2847,-26.4707,-0.0385,-0.0108,-0.0278,0.0035,0.035
218.04,208.72,220.64,208.5,1015494.0,215433200.0,sz.002304,2015-01-14,0.3034,698.5715,19.0589,4.4542,5.9907,-25.2321,-0.1315,-0.096,-0.0355,0.1001,0.031400000000000004
208.72,209.08,210.37,203.59,1131855.0,234213904.0,sz.002304,2015-01-15,0.3382,699.8024,19.0924,4.4621,6.0012,-25.2766,-0.1802,-0.0366,-0.1436,0.1,0.0801
209.63,210.0,215.39,209.16,1238973.0,262114784.0,sz.002304,2015-01-16,0.3702,702.8798,19.1764,4.4817,6.0276,-25.3877,0.0733,-0.004699999999999999,0.0781,-0.0418,-0.0315
204.62,198.86,213.29,193.35,1949955.0,398641472.0,sz.002304,2015-01-19,0.5826,665.5992,18.1593,4.244,5.7079,-24.0412,-0.0046,-0.027000000000000003,0.022400000000000003,-0.0357,0.0404
196.24,198.6,203.25,194.69,1607672.0,320026592.0,sz.002304,2015-01-20,0.4803,664.72,18.1353,4.2384,5.7004,-24.0094,-0.1042,-0.0716,-0.0326,0.005699999999999999,0.0985
